"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\star-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\axios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\AuthField\AuthField.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 8, 47
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\AuthField\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 2, 5, 26
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Button\Button.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 85, 0, 0, 19, 104
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Button\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 1, 8, 35
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CardPrice\CardPrice.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CardPrice\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CartItem\CartItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 93, 0, 0, 16, 109
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CartItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 4, 11, 59
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CartOverlay\CartOverlay.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 61, 0, 0, 10, 71
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\CartOverlay\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 4, 12, 58
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Colors\Colors.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Colors\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 1, 6, 37
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Comment\Comment.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 71, 0, 0, 13, 84
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Comment\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 3, 6, 48
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Dropdown\Dropdown.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 51
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Dropdown\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 2, 6, 32
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Footer\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 15, 88
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Footer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 2, 5, 98
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Header\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 2, 4, 29
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\LoginForm\LoginForm.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\LoginForm\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 3, 12, 100
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Navbar\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 114, 0, 0, 20, 134
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Navbar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 4, 14, 105
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Pagination\Pagination.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Pagination\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 2, 8, 49
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProductCardDefault\ProductCardDefault.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProductCardDefault\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProductCardExtended\ProductCardExtended.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 86, 0, 0, 13, 99
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProductCardExtended\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 5, 28, 138
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\Account\Account.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\Account\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 2, 6, 37
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\Logout\Logout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\Logout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\WishList\WishList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
